1:	train_loss: 82688.7585	val_loss: 36307.8848
2:	train_loss: 21060.2624	val_loss: 12867.4168
3:	train_loss: 9463.3125	val_loss: 6582.1916
4:	train_loss: 5530.4720	val_loss: 4490.4928
5:	train_loss: 3748.3299	val_loss: 3136.7142
6:	train_loss: 2760.7828	val_loss: 2371.1558
7:	train_loss: 2178.9871	val_loss: 1990.5424
8:	train_loss: 1792.3872	val_loss: 1668.9558
9:	train_loss: 1521.0446	val_loss: 1446.7172
10:	train_loss: 1326.9635	val_loss: 1248.7794
11:	train_loss: 1177.4722	val_loss: 1111.6142
12:	train_loss: 1064.4717	val_loss: 1056.7987
13:	train_loss: 971.5927	val_loss: 945.0388
14:	train_loss: 894.8758	val_loss: 889.8219
15:	train_loss: 827.8242	val_loss: 803.5850
16:	train_loss: 761.4630	val_loss: 746.4481
17:	train_loss: 714.8410	val_loss: 854.6992
18:	train_loss: 673.8998	val_loss: 685.4391
19:	train_loss: 638.7276	val_loss: 639.9513
20:	train_loss: 606.2030	val_loss: 611.1957
21:	train_loss: 578.9238	val_loss: 598.9443
22:	train_loss: 552.2547	val_loss: 577.7445
23:	train_loss: 529.6798	val_loss: 565.8643
24:	train_loss: 511.9712	val_loss: 542.4154
25:	train_loss: 492.1126	val_loss: 521.1404
26:	train_loss: 477.7588	val_loss: 504.2415
27:	train_loss: 464.5194	val_loss: 492.5230
28:	train_loss: 447.8520	val_loss: 466.3991
29:	train_loss: 435.3428	val_loss: 485.0063
30:	train_loss: 424.3164	val_loss: 459.7348
31:	train_loss: 414.2267	val_loss: 430.4371
32:	train_loss: 402.9414	val_loss: 433.3059
33:	train_loss: 394.1760	val_loss: 443.6202
34:	train_loss: 384.0992	val_loss: 408.0462
35:	train_loss: 376.2086	val_loss: 409.5797
36:	train_loss: 367.8875	val_loss: 414.2823
37:	train_loss: 360.6934	val_loss: 399.4300
38:	train_loss: 353.4378	val_loss: 411.0294
39:	train_loss: 349.5770	val_loss: 405.2018
40:	train_loss: 340.1737	val_loss: 374.6594
41:	train_loss: 334.8817	val_loss: 390.7252
42:	train_loss: 330.4107	val_loss: 370.8786
43:	train_loss: 323.4575	val_loss: 366.8169
44:	train_loss: 320.3834	val_loss: 360.2975
45:	train_loss: 311.8767	val_loss: 344.4043
46:	train_loss: 306.7402	val_loss: 353.1679
47:	train_loss: 302.8662	val_loss: 349.9046
48:	train_loss: 300.4115	val_loss: 348.8028
49:	train_loss: 280.8978	val_loss: 342.5717
