1:	train_loss: 20748.1067	val_loss: 2958.9493
2:	train_loss: 2051.9702	val_loss: 1656.8714
3:	train_loss: 1401.2949	val_loss: 1264.1399
4:	train_loss: 1135.5047	val_loss: 1069.4611
5:	train_loss: 985.7481	val_loss: 947.8951
6:	train_loss: 886.4056	val_loss: 865.6859
7:	train_loss: 817.5155	val_loss: 808.4687
8:	train_loss: 761.6008	val_loss: 791.4022
9:	train_loss: 712.2074	val_loss: 716.6862
10:	train_loss: 672.8988	val_loss: 680.6239
11:	train_loss: 639.6338	val_loss: 642.1171
12:	train_loss: 609.0570	val_loss: 698.6787
13:	train_loss: 583.3659	val_loss: 592.3965
14:	train_loss: 563.4392	val_loss: 647.9305
15:	train_loss: 542.0852	val_loss: 554.1530
16:	train_loss: 527.2057	val_loss: 543.7856
17:	train_loss: 508.1542	val_loss: 583.3663
18:	train_loss: 491.7872	val_loss: 818.9395
19:	train_loss: 478.9377	val_loss: 515.8657
20:	train_loss: 462.5504	val_loss: 491.9553
21:	train_loss: 451.6477	val_loss: 510.6242
22:	train_loss: 442.9193	val_loss: 485.6907
23:	train_loss: 430.0330	val_loss: 474.9944
24:	train_loss: 418.2698	val_loss: 447.6234
25:	train_loss: 412.9799	val_loss: 504.9240
26:	train_loss: 402.3517	val_loss: 437.6448
27:	train_loss: 392.8375	val_loss: 457.5612
28:	train_loss: 386.1168	val_loss: 428.7095
29:	train_loss: 380.5335	val_loss: 491.0895
30:	train_loss: 371.0872	val_loss: 503.5661
31:	train_loss: 364.9523	val_loss: 392.1610
32:	train_loss: 360.0998	val_loss: 396.2839
33:	train_loss: 352.2444	val_loss: 408.8271
34:	train_loss: 346.9963	val_loss: 392.5392
35:	train_loss: 341.5785	val_loss: 385.1833
36:	train_loss: 337.6380	val_loss: 422.4081
37:	train_loss: 328.9174	val_loss: 403.9330
38:	train_loss: 325.0778	val_loss: 376.5042
39:	train_loss: 323.0378	val_loss: 393.1331
40:	train_loss: 318.2549	val_loss: 408.2669
41:	train_loss: 313.5140	val_loss: 363.8753
42:	train_loss: 307.3726	val_loss: 354.9619
43:	train_loss: 307.0032	val_loss: 429.9322
44:	train_loss: 300.2977	val_loss: 363.1544
45:	train_loss: 298.1894	val_loss: 352.3071
46:	train_loss: 292.0774	val_loss: 335.4508
47:	train_loss: 289.6123	val_loss: 341.2176
48:	train_loss: 285.0872	val_loss: 376.5285
49:	train_loss: 283.6382	val_loss: 505.6132
50:	train_loss: 267.4841	val_loss: 320.6798
51:	train_loss: 264.5014	val_loss: 343.7032
52:	train_loss: 264.1335	val_loss: 327.9223
53:	train_loss: 263.5756	val_loss: 336.1751
54:	train_loss: 257.5811	val_loss: 346.9038
